Start: 2008-01-01 00:49:54, End: 2008-01-01 00:51:14, Duration: 0:01:20.027206, Max Elevation: 21.04 degrees
Start: 2008-01-01 09:55:55, End: 2008-01-01 09:59:25, Duration: 0:03:29.809926, Max Elevation: 30.25 degrees
Start: 2008-01-01 11:29:57, End: 2008-01-01 11:32:25, Duration: 0:02:27.218916, Max Elevation: 23.80 degrees
Start: 2008-01-02 00:25:00, End: 2008-01-02 00:28:57, Duration: 0:03:57.148704, Max Elevation: 35.17 degrees
Start: 2008-01-02 11:05:09, End: 2008-01-02 11:09:30, Duration: 0:04:20.748536, Max Elevation: 42.36 degrees
Start: 2008-01-03 00:00:57, End: 2008-01-03 00:05:43, Duration: 0:04:46.661491, Max Elevation: 64.70 degrees
Start: 2008-01-03 10:41:08, End: 2008-01-03 10:46:01, Duration: 0:04:53.358417, Max Elevation: 80.84 degrees
Start: 2008-01-03 23:37:14, End: 2008-01-03 23:42:02, Duration: 0:04:48.067076, Max Elevation: 67.51 degrees
Start: 2008-01-04 10:17:35, End: 2008-01-04 10:22:13, Duration: 0:04:38.180989, Max Elevation: 53.99 degrees
Start: 2008-01-04 23:13:52, End: 2008-01-04 23:17:53, Duration: 0:04:00.580148, Max Elevation: 35.73 degrees
Start: 2008-01-05 00:48:30, End: 2008-01-05 00:49:52, Duration: 0:01:21.653429, Max Elevation: 21.08 degrees
Start: 2008-01-05 09:54:35, End: 2008-01-05 09:58:04, Duration: 0:03:29.824732, Max Elevation: 30.25 degrees
Start: 2008-01-05 11:28:37, End: 2008-01-05 11:31:04, Duration: 0:02:27.395942, Max Elevation: 23.82 degrees
Start: 2008-01-06 00:23:43, End: 2008-01-06 00:27:40, Duration: 0:03:56.998594, Max Elevation: 35.15 degrees
Start: 2008-01-06 11:03:55, End: 2008-01-06 11:08:15, Duration: 0:04:20.766198, Max Elevation: 42.28 degrees
Start: 2008-01-06 23:59:45, End: 2008-01-07 00:04:31, Duration: 0:04:45.538061, Max Elevation: 64.47 degrees
Start: 2008-01-07 10:39:59, End: 2008-01-07 10:44:52, Duration: 0:04:53.377729, Max Elevation: 80.46 degrees
Start: 2008-01-07 23:36:08, End: 2008-01-07 23:40:57, Duration: 0:04:49.228848, Max Elevation: 67.96 degrees
Start: 2008-01-08 10:16:31, End: 2008-01-08 10:21:09, Duration: 0:04:38.200502, Max Elevation: 54.41 degrees
Start: 2008-01-08 23:12:52, End: 2008-01-08 23:16:53, Duration: 0:04:01.088614, Max Elevation: 36.04 degrees
Start: 2008-01-09 00:47:33, End: 2008-01-09 00:48:50, Duration: 0:01:17.371256, Max Elevation: 20.94 degrees
Start: 2008-01-09 09:53:36, End: 2008-01-09 09:57:08, Duration: 0:03:31.821985, Max Elevation: 30.52 degrees
Start: 2008-01-09 11:27:41, End: 2008-01-09 11:30:06, Duration: 0:02:24.522089, Max Elevation: 23.63 degrees
Start: 2008-01-09 22:50:36, End: 2008-01-09 22:51:45, Duration: 0:01:08.518558, Max Elevation: 20.73 degrees
