Start: 2023-06-01 05:56:57, End: 2023-06-01 05:58:04, Duration: 0:01:07.606312, Max Elevation: 20.66 degrees
Start: 2023-06-01 07:30:13, End: 2023-06-01 07:33:00, Duration: 0:02:47.497904, Max Elevation: 24.95 degrees
Start: 2023-06-01 18:09:15, End: 2023-06-01 18:14:08, Duration: 0:04:53.845801, Max Elevation: 56.81 degrees
Start: 2023-06-02 07:16:06, End: 2023-06-02 07:20:13, Duration: 0:04:07.640661, Max Elevation: 35.64 degrees
Start: 2023-06-02 17:55:36, End: 2023-06-02 18:00:43, Duration: 0:05:06.217812, Max Elevation: 86.59 degrees
Start: 2023-06-03 07:02:17, End: 2023-06-03 07:07:05, Duration: 0:04:48.333862, Max Elevation: 53.15 degrees
Start: 2023-06-03 17:42:10, End: 2023-06-03 17:47:07, Duration: 0:04:57.592029, Max Elevation: 62.29 degrees
Start: 2023-06-04 06:48:38, End: 2023-06-04 06:53:43, Duration: 0:05:04.921501, Max Elevation: 81.13 degrees
Start: 2023-06-04 17:28:55, End: 2023-06-04 17:33:22, Duration: 0:04:26.603744, Max Elevation: 41.13 degrees
Start: 2023-06-05 06:35:07, End: 2023-06-05 06:40:08, Duration: 0:05:00.436753, Max Elevation: 66.66 degrees
Start: 2023-06-05 17:15:58, End: 2023-06-05 17:19:22, Duration: 0:03:24.472276, Max Elevation: 28.37 degrees
Start: 2023-06-06 06:21:46, End: 2023-06-06 06:26:20, Duration: 0:04:33.260799, Max Elevation: 43.37 degrees
Start: 2023-06-06 18:36:39, End: 2023-06-06 18:39:42, Duration: 0:03:02.629707, Max Elevation: 25.98 degrees
Start: 2023-06-07 06:08:40, End: 2023-06-07 06:12:13, Duration: 0:03:33.488683, Max Elevation: 29.28 degrees
Start: 2023-06-07 18:22:24, End: 2023-06-07 18:26:43, Duration: 0:04:18.719297, Max Elevation: 38.00 degrees
Start: 2023-06-08 07:29:28, End: 2023-06-08 07:32:20, Duration: 0:02:51.563624, Max Elevation: 25.27 degrees
Start: 2023-06-08 18:08:30, End: 2023-06-08 18:13:25, Duration: 0:04:54.688967, Max Elevation: 57.83 degrees
Start: 2023-06-09 07:15:19, End: 2023-06-09 07:19:29, Duration: 0:04:09.813048, Max Elevation: 36.21 degrees
Start: 2023-06-09 17:54:49, End: 2023-06-09 17:59:56, Duration: 0:05:06.243521, Max Elevation: 88.08 degrees
Start: 2023-06-10 07:01:28, End: 2023-06-10 07:06:17, Duration: 0:04:49.251660, Max Elevation: 54.20 degrees
Start: 2023-06-10 17:41:20, End: 2023-06-10 17:46:17, Duration: 0:04:56.326416, Max Elevation: 60.98 degrees
Start: 2023-06-11 06:47:46, End: 2023-06-11 06:52:51, Duration: 0:05:04.948215, Max Elevation: 82.80 degrees
Start: 2023-06-11 17:28:04, End: 2023-06-11 17:32:28, Duration: 0:04:24.047129, Max Elevation: 40.27 degrees
Start: 2023-06-12 06:34:13, End: 2023-06-12 06:39:12, Duration: 0:04:59.371862, Max Elevation: 65.06 degrees
Start: 2023-06-12 17:15:04, End: 2023-06-12 17:18:23, Duration: 0:03:19.246717, Max Elevation: 27.80 degrees
Start: 2023-06-13 06:20:49, End: 2023-06-13 06:25:20, Duration: 0:04:30.514687, Max Elevation: 42.30 degrees
Start: 2023-06-13 18:35:36, End: 2023-06-13 18:38:45, Duration: 0:03:08.947356, Max Elevation: 26.56 degrees
Start: 2023-06-14 06:07:41, End: 2023-06-14 06:11:09, Duration: 0:03:27.859745, Max Elevation: 28.59 degrees
Start: 2023-06-14 18:21:20, End: 2023-06-14 18:25:42, Duration: 0:04:21.804575, Max Elevation: 38.98 degrees
Start: 2023-06-15 07:28:20, End: 2023-06-15 07:31:19, Duration: 0:02:58.535704, Max Elevation: 25.84 degrees
Start: 2023-06-15 18:07:23, End: 2023-06-15 18:12:19, Duration: 0:04:56.131969, Max Elevation: 59.57 degrees
Start: 2023-06-16 07:14:10, End: 2023-06-16 07:18:23, Duration: 0:04:13.404057, Max Elevation: 37.18 degrees
Start: 2023-06-16 17:53:40, End: 2023-06-16 17:58:46, Duration: 0:05:05.868226, Max Elevation: 89.48 degrees
Start: 2023-06-17 07:00:16, End: 2023-06-17 07:05:07, Duration: 0:04:51.223365, Max Elevation: 55.94 degrees
Start: 2023-06-17 17:40:09, End: 2023-06-17 17:45:03, Duration: 0:04:54.496170, Max Elevation: 58.99 degrees
Start: 2023-06-18 06:46:31, End: 2023-06-18 06:51:36, Duration: 0:05:05.100256, Max Elevation: 85.42 degrees
Start: 2023-06-18 17:26:50, End: 2023-06-18 17:31:10, Duration: 0:04:19.910841, Max Elevation: 39.01 degrees
Start: 2023-06-19 06:32:56, End: 2023-06-19 06:37:54, Duration: 0:04:57.706251, Max Elevation: 62.73 degrees
Start: 2023-06-19 17:13:50, End: 2023-06-19 17:17:01, Duration: 0:03:11.149516, Max Elevation: 26.97 degrees
Start: 2023-06-20 06:19:30, End: 2023-06-20 06:23:57, Duration: 0:04:26.639069, Max Elevation: 40.81 degrees
Start: 2023-06-20 18:34:09, End: 2023-06-20 18:37:27, Duration: 0:03:17.657750, Max Elevation: 27.42 degrees
Start: 2023-06-21 06:06:21, End: 2023-06-21 06:09:40, Duration: 0:03:19.310406, Max Elevation: 27.63 degrees
Start: 2023-06-21 18:19:52, End: 2023-06-21 18:24:18, Duration: 0:04:26.061723, Max Elevation: 40.44 degrees
Start: 2023-06-22 07:26:49, End: 2023-06-22 07:29:57, Duration: 0:03:07.873413, Max Elevation: 26.69 degrees
Start: 2023-06-22 18:05:54, End: 2023-06-22 18:10:52, Duration: 0:04:57.939080, Max Elevation: 62.12 degrees
Start: 2023-06-23 07:12:37, End: 2023-06-23 07:16:55, Duration: 0:04:18.086510, Max Elevation: 38.61 degrees
Start: 2023-06-23 17:52:09, End: 2023-06-23 17:57:14, Duration: 0:05:05.454992, Max Elevation: 86.12 degrees
Start: 2023-06-24 06:58:41, End: 2023-06-24 07:03:35, Duration: 0:04:53.357452, Max Elevation: 58.45 degrees
Start: 2023-06-24 17:38:36, End: 2023-06-24 17:43:27, Duration: 0:04:51.776209, Max Elevation: 56.39 degrees
Start: 2023-06-25 06:44:55, End: 2023-06-25 06:50:00, Duration: 0:05:05.089675, Max Elevation: 88.98 degrees
Start: 2023-06-25 17:25:15, End: 2023-06-25 17:29:30, Duration: 0:04:14.319562, Max Elevation: 37.39 degrees
Start: 2023-06-26 06:31:17, End: 2023-06-26 06:36:13, Duration: 0:04:55.551445, Max Elevation: 59.76 degrees
Start: 2023-06-26 17:12:15, End: 2023-06-26 17:15:14, Duration: 0:02:59.452939, Max Elevation: 25.92 degrees
Start: 2023-06-27 06:17:50, End: 2023-06-27 06:22:11, Duration: 0:04:21.199267, Max Elevation: 38.95 degrees
Start: 2023-06-27 18:32:19, End: 2023-06-27 18:35:47, Duration: 0:03:28.197020, Max Elevation: 28.60 degrees
Start: 2023-06-28 06:04:40, End: 2023-06-28 06:07:48, Duration: 0:03:07.124995, Max Elevation: 26.44 degrees
Start: 2023-06-28 18:18:01, End: 2023-06-28 18:22:33, Duration: 0:04:31.094607, Max Elevation: 42.46 degrees
Start: 2023-06-29 07:24:54, End: 2023-06-29 07:28:14, Duration: 0:03:19.392562, Max Elevation: 27.86 degrees
