Start: 2008-01-01 08:18:43, End: 2008-01-01 08:21:20, Duration: 0:02:36.409129, Max Elevation: 24.66 degrees
Start: 2008-01-01 21:20:01, End: 2008-01-01 21:24:11, Duration: 0:04:09.719023, Max Elevation: 38.89 degrees
Start: 2008-01-02 09:27:41, End: 2008-01-02 09:31:34, Duration: 0:03:52.605859, Max Elevation: 34.22 degrees
Start: 2008-01-02 22:30:45, End: 2008-01-02 22:32:36, Duration: 0:01:50.547057, Max Elevation: 22.09 degrees
Start: 2008-01-03 09:03:28, End: 2008-01-03 09:08:18, Duration: 0:04:50.024257, Max Elevation: 75.17 degrees
Start: 2008-01-03 22:05:56, End: 2008-01-03 22:10:16, Duration: 0:04:20.094747, Max Elevation: 43.53 degrees
Start: 2008-01-04 08:39:58, End: 2008-01-04 08:44:29, Duration: 0:04:30.858439, Max Elevation: 49.68 degrees
Start: 2008-01-04 21:42:03, End: 2008-01-04 21:46:54, Duration: 0:04:51.595924, Max Elevation: 85.75 degrees
Start: 2008-01-05 08:17:22, End: 2008-01-05 08:19:59, Duration: 0:02:36.688468, Max Elevation: 24.66 degrees
Start: 2008-01-05 21:18:43, End: 2008-01-05 21:22:53, Duration: 0:04:09.921155, Max Elevation: 38.94 degrees
Start: 2008-01-06 09:26:26, End: 2008-01-06 09:30:18, Duration: 0:03:52.250762, Max Elevation: 34.16 degrees
Start: 2008-01-06 22:29:34, End: 2008-01-06 22:31:23, Duration: 0:01:48.948112, Max Elevation: 22.03 degrees
Start: 2008-01-07 09:02:18, End: 2008-01-07 09:07:08, Duration: 0:04:50.043246, Max Elevation: 74.74 degrees
Start: 2008-01-07 22:04:50, End: 2008-01-07 22:09:09, Duration: 0:04:19.389380, Max Elevation: 43.23 degrees
Start: 2008-01-08 08:38:54, End: 2008-01-08 08:43:26, Duration: 0:04:31.599211, Max Elevation: 50.14 degrees
Start: 2008-01-08 21:41:02, End: 2008-01-08 21:45:54, Duration: 0:04:51.776530, Max Elevation: 86.61 degrees
Start: 2008-01-09 08:16:22, End: 2008-01-09 08:19:02, Duration: 0:02:40.111302, Max Elevation: 24.92 degrees
Start: 2008-01-09 21:17:47, End: 2008-01-09 21:21:59, Duration: 0:04:11.664296, Max Elevation: 39.48 degrees
Start: 2008-01-10 09:25:35, End: 2008-01-10 09:29:26, Duration: 0:03:50.340694, Max Elevation: 33.69 degrees
Start: 2008-01-10 22:28:49, End: 2008-01-10 22:30:30, Duration: 0:01:41.607576, Max Elevation: 21.74 degrees
Start: 2008-01-11 09:01:32, End: 2008-01-11 09:06:22, Duration: 0:04:49.701748, Max Elevation: 73.35 degrees
Start: 2008-01-11 22:04:07, End: 2008-01-11 22:08:25, Duration: 0:04:17.799728, Max Elevation: 42.41 degrees
Start: 2008-01-12 08:38:12, End: 2008-01-12 08:42:46, Duration: 0:04:33.385924, Max Elevation: 51.26 degrees
Start: 2008-01-12 21:40:24, End: 2008-01-12 21:45:16, Duration: 0:04:51.995117, Max Elevation: 88.50 degrees
Start: 2008-01-13 08:15:43, End: 2008-01-13 08:18:30, Duration: 0:02:46.871837, Max Elevation: 25.44 degrees
Start: 2008-01-13 21:17:14, End: 2008-01-13 21:21:29, Duration: 0:04:14.562812, Max Elevation: 40.52 degrees
Start: 2008-01-14 09:25:08, End: 2008-01-14 09:28:55, Duration: 0:03:46.456064, Max Elevation: 32.84 degrees
Start: 2008-01-14 22:28:30, End: 2008-01-14 22:29:56, Duration: 0:01:26.736605, Max Elevation: 21.24 degrees
Start: 2008-01-15 09:01:09, End: 2008-01-15 09:05:58, Duration: 0:04:49.198633, Max Elevation: 71.03 degrees
Start: 2008-01-15 22:03:49, End: 2008-01-15 22:08:03, Duration: 0:04:14.603367, Max Elevation: 41.11 degrees
Start: 2008-01-16 08:37:53, End: 2008-01-16 08:42:29, Duration: 0:04:35.733608, Max Elevation: 53.10 degrees
Start: 2008-01-16 21:40:10, End: 2008-01-16 21:45:02, Duration: 0:04:52.175000, Max Elevation: 88.59 degrees
Start: 2008-01-17 08:15:26, End: 2008-01-17 08:18:22, Duration: 0:02:56.199809, Max Elevation: 26.26 degrees
Start: 2008-01-17 21:17:03, End: 2008-01-17 21:21:22, Duration: 0:04:18.817426, Max Elevation: 42.13 degrees
Start: 2008-01-18 09:25:06, End: 2008-01-18 09:28:46, Duration: 0:03:39.979414, Max Elevation: 31.66 degrees
Start: 2008-01-18 20:55:04, End: 2008-01-18 20:56:29, Duration: 0:01:24.962404, Max Elevation: 21.16 degrees
Start: 2008-01-19 09:01:09, End: 2008-01-19 09:05:57, Duration: 0:04:47.973815, Max Elevation: 67.87 degrees
Start: 2008-01-19 22:03:53, End: 2008-01-19 22:08:03, Duration: 0:04:10.160421, Max Elevation: 39.39 degrees
Start: 2008-01-20 08:37:57, End: 2008-01-20 08:42:36, Duration: 0:04:38.804885, Max Elevation: 55.74 degrees
Start: 2008-01-20 21:40:18, End: 2008-01-20 21:45:10, Duration: 0:04:52.031327, Max Elevation: 84.67 degrees
Start: 2008-01-21 08:15:31, End: 2008-01-21 08:18:39, Duration: 0:03:07.658527, Max Elevation: 27.39 degrees
Start: 2008-01-21 21:17:15, End: 2008-01-21 21:21:39, Duration: 0:04:23.643389, Max Elevation: 44.36 degrees
Start: 2008-01-22 09:25:27, End: 2008-01-22 09:28:58, Duration: 0:03:31.149368, Max Elevation: 30.18 degrees
Start: 2008-01-22 20:55:10, End: 2008-01-22 20:57:04, Duration: 0:01:54.253092, Max Elevation: 22.18 degrees
Start: 2008-01-23 09:01:33, End: 2008-01-23 09:06:19, Duration: 0:04:45.990724, Max Elevation: 63.98 degrees
Start: 2008-01-23 22:04:21, End: 2008-01-23 22:08:25, Duration: 0:04:03.748226, Max Elevation: 37.33 degrees
Start: 2008-01-24 08:38:23, End: 2008-01-24 08:43:05, Duration: 0:04:42.037617, Max Elevation: 59.29 degrees
Start: 2008-01-24 21:40:49, End: 2008-01-24 21:45:41, Duration: 0:04:51.326845, Max Elevation: 79.81 degrees
Start: 2008-01-25 08:15:58, End: 2008-01-25 08:19:18, Duration: 0:03:20.327097, Max Elevation: 28.90 degrees
Start: 2008-01-25 21:17:49, End: 2008-01-25 21:22:18, Duration: 0:04:29.240945, Max Elevation: 47.36 degrees
Start: 2008-01-26 09:26:13, End: 2008-01-26 09:29:32, Duration: 0:03:18.715317, Max Elevation: 28.47 degrees
Start: 2008-01-26 20:55:40, End: 2008-01-26 20:58:01, Duration: 0:02:20.974773, Max Elevation: 23.51 degrees
Start: 2008-01-27 09:02:19, End: 2008-01-27 09:07:03, Duration: 0:04:43.123953, Max Elevation: 59.50 degrees
Start: 2008-01-27 22:05:14, End: 2008-01-27 22:09:09, Duration: 0:03:55.168106, Max Elevation: 35.02 degrees
Start: 2008-01-28 08:39:12, End: 2008-01-28 08:43:57, Duration: 0:04:45.434139, Max Elevation: 63.92 degrees
Start: 2008-01-28 21:41:44, End: 2008-01-28 21:46:34, Duration: 0:04:50.098407, Max Elevation: 74.14 degrees
Start: 2008-01-29 08:16:47, End: 2008-01-29 08:20:20, Duration: 0:03:33.757561, Max Elevation: 30.84 degrees
Start: 2008-01-29 21:18:46, End: 2008-01-29 21:23:21, Duration: 0:04:35.225182, Max Elevation: 51.26 degrees
Start: 2008-01-30 09:27:25, End: 2008-01-30 09:30:27, Duration: 0:03:01.397487, Max Elevation: 26.58 degrees
Start: 2008-01-30 20:56:33, End: 2008-01-30 20:59:19, Duration: 0:02:45.883188, Max Elevation: 25.20 degrees
Start: 2008-01-31 09:03:30, End: 2008-01-31 09:08:09, Duration: 0:04:38.915325, Max Elevation: 54.63 degrees
Start: 2008-01-31 22:06:30, End: 2008-01-31 22:10:13, Duration: 0:03:43.410013, Max Elevation: 32.52 degrees
Start: 2008-02-01 08:40:24, End: 2008-02-01 08:45:12, Duration: 0:04:48.705696, Max Elevation: 69.79 degrees
Start: 2008-02-01 21:43:01, End: 2008-02-01 21:47:49, Duration: 0:04:47.748148, Max Elevation: 67.87 degrees
Start: 2008-02-02 08:17:58, End: 2008-02-02 08:21:46, Duration: 0:03:47.714155, Max Elevation: 33.33 degrees
Start: 2008-02-02 21:20:06, End: 2008-02-02 21:24:47, Duration: 0:04:40.640240, Max Elevation: 56.28 degrees
Start: 2008-02-03 09:29:03, End: 2008-02-03 09:31:41, Duration: 0:02:37.582448, Max Elevation: 24.58 degrees
Start: 2008-02-03 20:57:50, End: 2008-02-03 21:00:59, Duration: 0:03:09.007866, Max Elevation: 27.33 degrees
Start: 2008-02-04 09:05:04, End: 2008-02-04 09:09:37, Duration: 0:04:32.966010, Max Elevation: 49.57 degrees
Start: 2008-02-04 22:08:11, End: 2008-02-04 22:11:39, Duration: 0:03:28.036610, Max Elevation: 29.94 degrees
Start: 2008-02-05 08:41:58, End: 2008-02-05 08:46:50, Duration: 0:04:51.256557, Max Elevation: 77.04 degrees
Start: 2008-02-05 21:44:42, End: 2008-02-05 21:49:26, Duration: 0:04:44.027548, Max Elevation: 61.26 degrees
Start: 2008-02-06 08:19:33, End: 2008-02-06 08:23:34, Duration: 0:04:01.148521, Max Elevation: 36.49 degrees
Start: 2008-02-06 21:21:48, End: 2008-02-06 21:26:34, Duration: 0:04:45.857955, Max Elevation: 62.67 degrees
Start: 2008-02-07 09:31:10, End: 2008-02-07 09:33:11, Duration: 0:02:01.674979, Max Elevation: 22.50 degrees
Start: 2008-02-07 20:59:31, End: 2008-02-07 21:03:01, Duration: 0:03:30.308254, Max Elevation: 30.01 degrees
Start: 2008-02-08 09:07:02, End: 2008-02-08 09:11:26, Duration: 0:04:24.503534, Max Elevation: 44.51 degrees
Start: 2008-02-08 22:10:16, End: 2008-02-08 22:13:24, Duration: 0:03:07.316626, Max Elevation: 27.32 degrees
Start: 2008-02-09 08:43:56, End: 2008-02-09 08:48:49, Duration: 0:04:52.885597, Max Elevation: 85.69 degrees
Start: 2008-02-09 21:46:47, End: 2008-02-09 21:51:25, Duration: 0:04:38.337295, Max Elevation: 54.62 degrees
Start: 2008-02-10 08:21:30, End: 2008-02-10 08:25:44, Duration: 0:04:14.024452, Max Elevation: 40.54 degrees
Start: 2008-02-10 21:23:54, End: 2008-02-10 21:28:44, Duration: 0:04:49.809291, Max Elevation: 70.65 degrees
Start: 2008-02-11 08:00:11, End: 2008-02-11 08:01:42, Duration: 0:01:31.449031, Max Elevation: 21.38 degrees
Start: 2008-02-11 21:01:35, End: 2008-02-11 21:05:25, Duration: 0:03:49.999798, Max Elevation: 33.41 degrees
Start: 2008-02-12 09:09:24, End: 2008-02-12 09:13:37, Duration: 0:04:12.972033, Max Elevation: 39.61 degrees
Start: 2008-02-12 22:12:49, End: 2008-02-12 22:15:27, Duration: 0:02:38.320123, Max Elevation: 24.73 degrees
Start: 2008-02-13 08:46:18, End: 2008-02-13 08:51:11, Duration: 0:04:53.070227, Max Elevation: 84.48 degrees
Start: 2008-02-13 21:49:15, End: 2008-02-13 21:53:45, Duration: 0:04:30.115856, Max Elevation: 48.20 degrees
Start: 2008-02-14 08:23:50, End: 2008-02-14 08:28:16, Duration: 0:04:26.055326, Max Elevation: 45.76 degrees
Start: 2008-02-14 21:26:23, End: 2008-02-14 21:31:16, Duration: 0:04:52.678799, Max Elevation: 80.33 degrees
