Start: 2008-01-01 09:54:07, End: 2008-01-01 09:58:43, Duration: 0:04:35.326971, Max Elevation: 51.12 degrees
Start: 2008-01-01 22:51:02, End: 2008-01-01 22:55:49, Duration: 0:04:47.682447, Max Elevation: 67.44 degrees
Start: 2008-01-02 09:30:13, End: 2008-01-02 09:35:06, Duration: 0:04:52.383970, Max Elevation: 82.10 degrees
Start: 2008-01-02 22:27:19, End: 2008-01-02 22:32:05, Duration: 0:04:45.932869, Max Elevation: 62.83 degrees
Start: 2008-01-03 09:06:50, End: 2008-01-03 09:11:09, Duration: 0:04:18.873309, Max Elevation: 42.57 degrees
Start: 2008-01-03 22:04:02, End: 2008-01-03 22:07:49, Duration: 0:03:46.267733, Max Elevation: 32.69 degrees
Start: 2008-01-03 23:38:39, End: 2008-01-03 23:39:49, Duration: 0:01:09.651926, Max Elevation: 20.78 degrees
Start: 2008-01-04 08:44:10, End: 2008-01-04 08:46:41, Duration: 0:02:30.680816, Max Elevation: 24.22 degrees
Start: 2008-01-04 10:17:15, End: 2008-01-04 10:20:25, Duration: 0:03:10.224637, Max Elevation: 27.42 degrees
Start: 2008-01-04 23:13:44, End: 2008-01-04 23:17:41, Duration: 0:03:57.420398, Max Elevation: 35.57 degrees
Start: 2008-01-05 09:52:46, End: 2008-01-05 09:57:22, Duration: 0:04:35.418502, Max Elevation: 51.16 degrees
Start: 2008-01-05 22:49:44, End: 2008-01-05 22:54:32, Duration: 0:04:47.736359, Max Elevation: 67.38 degrees
Start: 2008-01-06 09:28:58, End: 2008-01-06 09:33:50, Duration: 0:04:52.403041, Max Elevation: 82.28 degrees
Start: 2008-01-06 22:26:07, End: 2008-01-06 22:30:53, Duration: 0:04:46.114441, Max Elevation: 63.09 degrees
Start: 2008-01-07 09:05:41, End: 2008-01-07 09:10:00, Duration: 0:04:19.485174, Max Elevation: 42.78 degrees
Start: 2008-01-07 22:02:56, End: 2008-01-07 22:06:43, Duration: 0:03:47.421941, Max Elevation: 32.89 degrees
Start: 2008-01-07 23:37:35, End: 2008-01-07 23:38:41, Duration: 0:01:05.567538, Max Elevation: 20.69 degrees
Start: 2008-01-08 08:43:05, End: 2008-01-08 08:45:38, Duration: 0:02:33.162678, Max Elevation: 24.38 degrees
Start: 2008-01-08 10:16:12, End: 2008-01-08 10:19:21, Duration: 0:03:08.734040, Max Elevation: 27.25 degrees
