Start: 2023-06-01 05:52:05, End: 2023-06-01 05:56:27, Duration: 0:04:21.725919, Max Elevation: 38.46 degrees
Start: 2023-06-01 07:27:05, End: 2023-06-01 07:29:25, Duration: 0:02:20.504649, Max Elevation: 23.23 degrees
Start: 2023-06-01 16:38:01, End: 2023-06-01 16:42:31, Duration: 0:04:29.956854, Max Elevation: 41.91 degrees
Start: 2023-06-01 18:14:05, End: 2023-06-01 18:15:07, Duration: 0:01:02.541041, Max Elevation: 20.55 degrees
Start: 2023-06-02 05:38:57, End: 2023-06-02 05:42:23, Duration: 0:03:26.362269, Max Elevation: 28.24 degrees
Start: 2023-06-02 07:12:59, End: 2023-06-02 07:16:39, Duration: 0:03:40.599246, Max Elevation: 30.36 degrees
Start: 2023-06-02 16:24:55, End: 2023-06-02 16:28:41, Duration: 0:03:46.340755, Max Elevation: 31.21 degrees
Start: 2023-06-02 17:59:18, End: 2023-06-02 18:02:38, Duration: 0:03:19.839552, Max Elevation: 27.48 degrees
Start: 2023-06-03 05:26:19, End: 2023-06-03 05:27:45, Duration: 0:01:26.481365, Max Elevation: 21.09 degrees
Start: 2023-06-03 06:59:08, End: 2023-06-03 07:03:34, Duration: 0:04:26.340458, Max Elevation: 40.66 degrees
Start: 2023-06-03 16:12:06, End: 2023-06-03 16:14:37, Duration: 0:02:31.159953, Max Elevation: 23.83 degrees
Start: 2023-06-03 17:45:12, End: 2023-06-03 17:49:31, Duration: 0:04:18.322879, Max Elevation: 37.35 degrees
Start: 2023-06-04 06:45:25, End: 2023-06-04 06:50:18, Duration: 0:04:53.333713, Max Elevation: 56.17 degrees
Start: 2023-06-04 17:31:20, End: 2023-06-04 17:36:11, Duration: 0:04:50.471568, Max Elevation: 52.08 degrees
Start: 2023-06-05 06:31:47, End: 2023-06-05 06:36:53, Duration: 0:05:06.127248, Max Elevation: 78.66 degrees
Start: 2023-06-05 17:17:38, End: 2023-06-05 17:22:44, Duration: 0:05:05.638012, Max Elevation: 73.67 degrees
Start: 2023-06-06 06:18:14, End: 2023-06-06 06:23:19, Duration: 0:05:05.636363, Max Elevation: 75.10 degrees
Start: 2023-06-06 17:04:04, End: 2023-06-06 17:09:10, Duration: 0:05:06.886607, Max Elevation: 80.15 degrees
Start: 2023-06-07 06:04:45, End: 2023-06-07 06:09:37, Duration: 0:04:51.195121, Max Elevation: 53.07 degrees
Start: 2023-06-07 16:50:37, End: 2023-06-07 16:55:32, Duration: 0:04:54.618680, Max Elevation: 57.28 degrees
Start: 2023-06-08 05:51:24, End: 2023-06-08 05:55:44, Duration: 0:04:19.840474, Max Elevation: 37.96 degrees
Start: 2023-06-08 07:26:21, End: 2023-06-08 07:28:45, Duration: 0:02:24.434903, Max Elevation: 23.45 degrees
Start: 2023-06-08 16:37:18, End: 2023-06-08 16:41:47, Duration: 0:04:28.274868, Max Elevation: 41.36 degrees
Start: 2023-06-08 18:13:15, End: 2023-06-08 18:14:29, Duration: 0:01:14.154215, Max Elevation: 20.78 degrees
Start: 2023-06-09 05:38:13, End: 2023-06-09 05:41:36, Duration: 0:03:22.780795, Max Elevation: 27.86 degrees
Start: 2023-06-09 07:12:12, End: 2023-06-09 07:15:55, Duration: 0:03:42.803781, Max Elevation: 30.71 degrees
Start: 2023-06-09 16:24:10, End: 2023-06-09 16:27:53, Duration: 0:03:43.565394, Max Elevation: 30.80 degrees
Start: 2023-06-09 17:58:29, End: 2023-06-09 18:01:52, Duration: 0:03:23.154802, Max Elevation: 27.84 degrees
Start: 2023-06-10 05:25:36, End: 2023-06-10 05:26:50, Duration: 0:01:13.761459, Max Elevation: 20.78 degrees
Start: 2023-06-10 06:58:19, End: 2023-06-10 07:02:46, Duration: 0:04:27.673905, Max Elevation: 41.23 degrees
Start: 2023-06-10 16:11:19, End: 2023-06-10 16:13:45, Duration: 0:02:25.691988, Max Elevation: 23.51 degrees
Start: 2023-06-10 17:44:21, End: 2023-06-10 17:48:41, Duration: 0:04:20.109110, Max Elevation: 37.92 degrees
Start: 2023-06-11 06:44:33, End: 2023-06-11 06:49:27, Duration: 0:04:54.215504, Max Elevation: 57.13 degrees
Start: 2023-06-11 17:30:26, End: 2023-06-11 17:35:18, Duration: 0:04:51.551829, Max Elevation: 53.03 degrees
Start: 2023-06-12 06:30:52, End: 2023-06-12 06:35:58, Duration: 0:05:06.116546, Max Elevation: 80.07 degrees
Start: 2023-06-12 17:16:41, End: 2023-06-12 17:21:47, Duration: 0:05:05.791421, Max Elevation: 75.09 degrees
Start: 2023-06-13 06:17:16, End: 2023-06-13 06:22:21, Duration: 0:05:05.062316, Max Elevation: 73.60 degrees
Start: 2023-06-13 17:03:04, End: 2023-06-13 17:08:11, Duration: 0:05:06.346920, Max Elevation: 78.59 degrees
Start: 2023-06-14 06:03:45, End: 2023-06-14 06:08:34, Duration: 0:04:49.565559, Max Elevation: 51.90 degrees
Start: 2023-06-14 16:49:35, End: 2023-06-14 16:54:28, Duration: 0:04:53.351416, Max Elevation: 56.02 degrees
Start: 2023-06-15 05:50:21, End: 2023-06-15 05:54:37, Duration: 0:04:16.595591, Max Elevation: 37.13 degrees
Start: 2023-06-15 07:25:13, End: 2023-06-15 07:27:44, Duration: 0:02:31.245568, Max Elevation: 23.84 degrees
Start: 2023-06-15 16:36:14, End: 2023-06-15 16:40:40, Duration: 0:04:25.723443, Max Elevation: 40.47 degrees
Start: 2023-06-15 18:12:00, End: 2023-06-15 18:13:30, Duration: 0:01:30.201241, Max Elevation: 21.18 degrees
Start: 2023-06-16 05:37:08, End: 2023-06-16 05:40:25, Duration: 0:03:17.084386, Max Elevation: 27.26 degrees
Start: 2023-06-16 07:11:03, End: 2023-06-16 07:14:49, Duration: 0:03:46.445885, Max Elevation: 31.30 degrees
Start: 2023-06-16 16:23:03, End: 2023-06-16 16:26:42, Duration: 0:03:39.107723, Max Elevation: 30.16 degrees
Start: 2023-06-16 17:57:17, End: 2023-06-16 18:00:45, Duration: 0:03:28.351154, Max Elevation: 28.43 degrees
Start: 2023-06-17 06:57:07, End: 2023-06-17 07:01:37, Duration: 0:04:30.010887, Max Elevation: 42.19 degrees
Start: 2023-06-17 16:10:12, End: 2023-06-17 16:12:28, Duration: 0:02:16.481778, Max Elevation: 23.03 degrees
Start: 2023-06-17 17:43:07, End: 2023-06-17 17:47:30, Duration: 0:04:23.059809, Max Elevation: 38.85 degrees
Start: 2023-06-18 06:43:18, End: 2023-06-18 06:48:13, Duration: 0:04:55.295401, Max Elevation: 58.66 degrees
Start: 2023-06-18 17:29:10, End: 2023-06-18 17:34:03, Duration: 0:04:52.995554, Max Elevation: 54.51 degrees
Start: 2023-06-19 06:29:34, End: 2023-06-19 06:34:41, Duration: 0:05:06.469470, Max Elevation: 82.23 degrees
Start: 2023-06-19 17:15:22, End: 2023-06-19 17:20:29, Duration: 0:05:06.307612, Max Elevation: 77.23 degrees
Start: 2023-06-20 06:15:55, End: 2023-06-20 06:20:59, Duration: 0:05:03.960693, Max Elevation: 71.44 degrees
Start: 2023-06-20 17:01:43, End: 2023-06-20 17:06:48, Duration: 0:05:05.408482, Max Elevation: 76.33 degrees
Start: 2023-06-21 06:02:22, End: 2023-06-21 06:07:09, Duration: 0:04:47.173780, Max Elevation: 50.29 degrees
Start: 2023-06-21 16:48:11, End: 2023-06-21 16:53:02, Duration: 0:04:51.192948, Max Elevation: 54.29 degrees
Start: 2023-06-22 05:48:55, End: 2023-06-22 05:53:08, Duration: 0:04:12.214162, Max Elevation: 36.01 degrees
Start: 2023-06-22 07:23:42, End: 2023-06-22 07:26:22, Duration: 0:02:40.431639, Max Elevation: 24.43 degrees
Start: 2023-06-22 16:34:48, End: 2023-06-22 16:39:10, Duration: 0:04:21.865528, Max Elevation: 39.27 degrees
Start: 2023-06-22 18:10:22, End: 2023-06-22 18:12:10, Duration: 0:01:48.772534, Max Elevation: 21.77 degrees
Start: 2023-06-23 05:35:41, End: 2023-06-23 05:38:50, Duration: 0:03:08.571699, Max Elevation: 26.46 degrees
Start: 2023-06-23 07:09:30, End: 2023-06-23 07:13:22, Duration: 0:03:51.626625, Max Elevation: 32.18 degrees
Start: 2023-06-23 16:21:35, End: 2023-06-23 16:25:08, Duration: 0:03:32.650466, Max Elevation: 29.31 degrees
Start: 2023-06-23 17:55:41, End: 2023-06-23 17:59:17, Duration: 0:03:35.078697, Max Elevation: 29.28 degrees
Start: 2023-06-24 06:55:32, End: 2023-06-24 07:00:05, Duration: 0:04:33.141267, Max Elevation: 43.56 degrees
Start: 2023-06-24 16:08:45, End: 2023-06-24 16:10:47, Duration: 0:02:02.881530, Max Elevation: 22.39 degrees
Start: 2023-06-24 17:41:29, End: 2023-06-24 17:45:56, Duration: 0:04:26.733858, Max Elevation: 40.16 degrees
Start: 2023-06-25 06:41:40, End: 2023-06-25 06:46:38, Duration: 0:04:57.069039, Max Elevation: 60.82 degrees
Start: 2023-06-25 17:27:30, End: 2023-06-25 17:32:25, Duration: 0:04:54.967662, Max Elevation: 56.59 degrees
Start: 2023-06-26 06:27:54, End: 2023-06-26 06:33:01, Duration: 0:05:06.656877, Max Elevation: 85.14 degrees
Start: 2023-06-26 17:13:41, End: 2023-06-26 17:18:47, Duration: 0:05:06.693328, Max Elevation: 80.13 degrees
Start: 2023-06-27 06:14:13, End: 2023-06-27 06:19:16, Duration: 0:05:02.695119, Max Elevation: 68.67 degrees
Start: 2023-06-27 16:59:59, End: 2023-06-27 17:05:03, Duration: 0:05:04.305572, Max Elevation: 73.42 degrees
Start: 2023-06-28 06:00:37, End: 2023-06-28 06:05:21, Duration: 0:04:44.089910, Max Elevation: 48.27 degrees
Start: 2023-06-28 16:46:25, End: 2023-06-28 16:51:13, Duration: 0:04:48.272989, Max Elevation: 52.12 degrees
Start: 2023-06-29 05:47:08, End: 2023-06-29 05:51:15, Duration: 0:04:06.347769, Max Elevation: 34.63 degrees
Start: 2023-06-29 07:21:47, End: 2023-06-29 07:24:39, Duration: 0:02:51.511763, Max Elevation: 25.22 degrees
Start: 2023-06-29 16:33:00, End: 2023-06-29 16:37:17, Duration: 0:04:16.751977, Max Elevation: 37.80 degrees
Start: 2023-06-29 18:08:20, End: 2023-06-29 18:10:28, Duration: 0:02:08.210328, Max Elevation: 22.54 degrees
Start: 2023-06-30 05:33:54, End: 2023-06-30 05:36:51, Duration: 0:02:56.973210, Max Elevation: 25.48 degrees
Start: 2023-06-30 07:07:35, End: 2023-06-30 07:11:33, Duration: 0:03:57.915869, Max Elevation: 33.36 degrees
Start: 2023-06-30 16:19:46, End: 2023-06-30 16:23:10, Duration: 0:03:24.026171, Max Elevation: 28.28 degrees
Start: 2023-06-30 17:53:43, End: 2023-06-30 17:57:26, Duration: 0:03:43.182052, Max Elevation: 30.42 degrees
Start: 2023-07-01 06:53:34, End: 2023-07-01 06:58:11, Duration: 0:04:37.096948, Max Elevation: 45.40 degrees
Start: 2023-07-01 16:06:58, End: 2023-07-01 16:08:41, Duration: 0:01:42.762991, Max Elevation: 21.62 degrees
Start: 2023-07-01 17:39:29, End: 2023-07-01 17:44:01, Duration: 0:04:31.258517, Max Elevation: 41.92 degrees
Start: 2023-07-02 06:39:40, End: 2023-07-02 06:44:40, Duration: 0:04:59.075465, Max Elevation: 63.67 degrees
Start: 2023-07-02 17:25:29, End: 2023-07-02 17:30:26, Duration: 0:04:57.136872, Max Elevation: 59.34 degrees
Start: 2023-07-03 06:25:52, End: 2023-07-03 06:30:59, Duration: 0:05:06.811572, Max Elevation: 88.82 degrees
