Start: 2023-06-01 05:51:24, End: 2023-06-01 05:56:25, Duration: 0:05:00.773182, Max Elevation: 63.44 degrees
Start: 2023-06-01 16:37:40, End: 2023-06-01 16:42:45, Duration: 0:05:04.926771, Max Elevation: 72.94 degrees
Start: 2023-06-02 05:38:01, End: 2023-06-02 05:42:40, Duration: 0:04:39.152620, Max Elevation: 45.24 degrees
Start: 2023-06-02 07:13:30, End: 2023-06-02 07:15:01, Duration: 0:01:30.809606, Max Elevation: 21.24 degrees
Start: 2023-06-02 16:24:18, End: 2023-06-02 16:29:07, Duration: 0:04:49.513054, Max Elevation: 52.44 degrees
Start: 2023-06-03 05:24:45, End: 2023-06-03 05:28:44, Duration: 0:03:58.876476, Max Elevation: 32.99 degrees
Start: 2023-06-03 06:59:11, End: 2023-06-03 07:02:28, Duration: 0:03:16.726151, Max Elevation: 27.43 degrees
Start: 2023-06-03 16:11:03, End: 2023-06-03 16:15:23, Duration: 0:04:19.800643, Max Elevation: 38.46 degrees
Start: 2023-06-03 17:46:19, End: 2023-06-03 17:48:41, Duration: 0:02:22.056442, Max Elevation: 23.19 degrees
Start: 2023-06-04 05:11:44, End: 2023-06-04 05:14:29, Duration: 0:02:45.248591, Max Elevation: 24.59 degrees
Start: 2023-06-04 06:45:16, End: 2023-06-04 06:49:27, Duration: 0:04:11.009260, Max Elevation: 36.13 degrees
Start: 2023-06-04 15:57:59, End: 2023-06-04 16:01:30, Duration: 0:03:30.904509, Max Elevation: 29.04 degrees
Start: 2023-06-04 17:31:58, End: 2023-06-04 17:35:45, Duration: 0:03:47.534835, Max Elevation: 31.00 degrees
Start: 2023-06-05 06:31:30, End: 2023-06-05 06:36:14, Duration: 0:04:43.924631, Max Elevation: 48.97 degrees
Start: 2023-06-05 15:45:16, End: 2023-06-05 15:47:19, Duration: 0:02:03.404963, Max Elevation: 22.40 degrees
Start: 2023-06-05 17:17:58, End: 2023-06-05 17:22:31, Duration: 0:04:33.072468, Max Elevation: 42.29 degrees
Start: 2023-06-06 06:17:49, End: 2023-06-06 06:22:52, Duration: 0:05:02.207856, Max Elevation: 68.08 degrees
Start: 2023-06-06 17:04:09, End: 2023-06-06 17:09:07, Duration: 0:04:57.721982, Max Elevation: 59.12 degrees
Start: 2023-06-07 06:04:13, End: 2023-06-07 06:09:21, Duration: 0:05:07.631041, Max Elevation: 86.91 degrees
Start: 2023-06-07 16:50:29, End: 2023-06-07 16:55:37, Duration: 0:05:07.665199, Max Elevation: 82.57 degrees
