Month,Total Data Transmitted (Gbits),Maximum Possible Data (Gbits),Percentage Data Throughput (%)
2023-06,317820.0,497250.0,63.91553544494721
2023-07,324650.0,510060.0,63.64937458338235
2023-08,321410.0,506490.0,63.458311121641096
2023-09,313250.0,490610.0,63.849085831923524
2023-10,323150.0,507650.0,63.656062247611544
2023-11,309760.0,487630.0,63.52357320099256
2023-12,319770.0,502240.0,63.66876393755974
2024-01,320155.0,502210.0,63.749228410425914
2024-02,296975.0,466250.0,63.69436997319035
2024-03,319165.0,503250.0,63.4207650273224
2024-04,307400.0,482240.0,63.74419376244194
2024-05,314780.0,493620.0,63.769701389732994
